spCN,sp,tag,gx,gy,dbh,height
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09040078,168.9,78.4,13.9,16.9
ÏÙÒ¶¹ðÓ£,LAUPHA,T06190113,119.2,375.8,8.9,5
Ã«»¨Á¬Èï²è,CAMFRA,T17060002,321.9,101.3,2.1,3.01
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T14170084,270,321.2,8.3,6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T24060197,470,103.2,3,4.02
»Æµ¤Ä¾½ª×Ó,LITELO,T02090080,26,165.8,12.7,10.2
Ï¸Ö¦èÚ,EURLOQ,T10070017,183.9,124,1.4,2.15
Ã«»¨Á¬Èï²è,CAMFRA,T05010138,90.5,19.5,2.7,4.45
Ï¸Ö¦èÚ,EURLOQ,T23010250,454.2,14,2,3.22
±¡Ò¶É½·¯,SYMANO,T24090144,473.5,171.5,5.7,4.8
Õ­»ùºìºÖèÚ,EURRUB,T07180100,126,355,1.8,2
»Æµ¤Ä¾½ª×Ó,LITELO,T16100024,302.2,185.7,3,3.22
Ã«»¨Á¬Èï²è,CAMFRA,T25120018,486.1,220.8,1.8,3.22
ºì¶¾Üî,ILLLAN,T0407B3426,70.4,122.3,9.9,19.9
»Æµ¤Ä¾½ª×Ó,LITELO,T14060150,270.1,109.5,5.3,5.2
É½²è,CAMJAP,T20140074,385.2,268,9.2,3.7
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09180154,176.8,348.2,8.4,7
Ã«»¨Á¬Èï²è,CAMFRA,T02120121,29.2,230.5,1.6,2.73
Ï¸Ö¦èÚ,EURLOQ,T15030248,297.7,45.7,2.1,2.98
ÄÏËáÔæ,CHOAXI,T15150100,295,288.9,46.2,31.6
Ã«»¨Á¬Èï²è,CAMFRA,T23120117,455.6,223,4,4.5
Ã«»¨Á¬Èï²è,CAMFRA,T11140011,215.5,262.5,2.5,3.3
Ã«»¨Á¬Èï²è,CAMFRA,T04050056,68.8,84,1.4,2.41
Ï¸Ö¦èÚ,EURLOQ,T21090127,400,162.6,3.9,4
Ï¸Ö¦èÚ,EURLOQ,T12050024,220,90.3,2.4,3.5
¸Û¿Â,LITHAR,T12040051,228.5,70,1.3,1.81
ºìµ­±È,CLEJAP,T07090044,124,175,9.2,7.7
Ã«»¨Á¬Èï²è,CAMFRA,T03110299,52.4,219.5,3.2,3.64
ºìéª,MACTHU,T21160162,410.5,300.1,3.3,3.6
Ï¸Ö¦èÚ,EURLOQ,T15100042,280.9,191.3,2.2,3.17
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T11110184,214.7,204.2,5.7,5.2
Ï¸Ö¦èÚ,EURLOQ,T14110074,276,203.9,2.8,3.03
»Æµ¤Ä¾½ª×Ó,LITELO,T03030027,43,47,7.8,13.9
Ã«»¨Á¬Èï²è,CAMFRA,T18080093,348,154.1,2.1,2.9
»Æµ¤Ä¾½ª×Ó,LITELO,T15100130,290.9,193.5,2.4,2.29
Ï¸Ö¦èÚ,EURLOQ,T18020235,355.2,35,1.7,2.75
ºìµ­±È,CLEJAP,T16100072,307,189.2,9.2,10
¸Û¿Â,LITHAR,T05140245,96.5,278,23.1,18.6
±¡Ò¶É½·¯,SYMANO,T22070200,434,122,3.1,4.5
Ã«»¨Á¬Èï²è,CAMFRA,T25110126,491,213.5,1.3,2.35
ºìµ­±È,CLEJAP,T17070119,330.8,131.8,2.1,3.52
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10080222,180.5,156.6,28.8,11.3
ÔÆÉ½Çà¸Ô,CYCSES,T21200095,417.5,383.2,7,4.65
Ã«»¨Á¬Èï²è,CAMFRA,T01200352,13.9,389.9,3.4,3.05
»ÆÌ´,DALHUP,T23180042,447.5,344.8,18.8,16.7
ÂíÒø»¨,RHOOVA,T02180049,39.3,352.5,8.4,2.78
Ã«»¨Á¬Èï²è,CAMFRA,T23090207,448.7,174.8,4,4.66
Ï¸Ö¦èÚ,EURLOQ,T20070302,380.1,121,3.9,3.4
ÔÆÉ½Çà¸Ô,CYCSES,T19200145,371.5,386,18.5,7
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T23080188,453.5,145.5,4.1,5.1
Ï¸Ö¦èÚ,EURLOQ,T17120120,335,231.2,3.1,3.78
¹âÁÁÉ½·¯,SYMLUC,T09180311,172,358.4,2.6,3
ºìµ­±È,CLEJAP,T08200319,150.5,399.5,9.7,5.5
Ïã¹ð,CINSUB,T11060057,209.8,118.9,27.5,31.6
Ï¸Ö¦èÚ,EURLOQ,T18120106,352.5,232,2.8,3.6
ÑîÃ·,MYRRUB,T11070022,202,130.5,9.9,5.5
Ï¸Ö¦èÚ,EURLOQ,T20050118,389.5,88.9,5.3,3.7
ÏÙÒ¶¹ðÓ£,LAUPHA,T17200124,333.8,382.9,2.7,3.5
Ä¾ºÉ,SCHSUP,T01160058,9,316.7,15.9,17.8
Ïã¹ð,CINSUB,T18190169,356.8,370.1,2.3,2.15
Ï¸Ö¦èÚ,EURLOQ,T04150116,77,292.3,4,2.92
»Æµ¤Ä¾½ª×Ó,LITELO,T18090020,343.5,171.5,6.5,12.5
Ï¸Ö¦èÚ,EURLOQ,T02030196,32.9,58,4.9,3.25
Ð¡À¯,LIGSIN,T25160113,496,300.7,2.1,2
Ã«»¨Á¬Èï²è,CAMFRA,T04020218,60.8,32.4,1.8,3.05
ºì¶¾Üî,ILLLAN,T17120067,336.9,226.1,3.1,3.21
èàÊ÷,CASFAR,T21070325,418.8,135.5,37.5,38.5
ÄÏËáÔæ,CHOAXI,T11180145,204.5,341.5,21.3,15.6
Ã«»¨Á¬Èï²è,CAMFRA,T04010011,61,10,2.4,3.25
Ï¸Ö¦èÚ,EURLOQ,T23010165,452.6,6,3.9,3.72
Ï¸Ö¦èÚ,EURLOQ,T17150173,330.8,291,1.4,2
¸Û¿Â,LITHAR,T24100208,468,187.3,1.9,2.7
Ï¸Ö¦èÚ,EURLOQ,T13080056,245,149,2.1,3.06
Ã«»¨Á¬Èï²è,CAMFRA,T04010054,67.5,17.8,1.4,1.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07020282,134,36,4.6,4.48
Ï¸Ö¦èÚ,EURLOQ,T20080325,390.7,155.6,3.9,2.67
Ï¸Ö¦èÚ,EURLOQ,T21010081,408.7,12.8,2.4,3.2
»Æµ¤Ä¾½ª×Ó,LITELO,T02010278,35.6,4.8,2,2.78
»Æµ¤Ä¾½ª×Ó,LITELO,T03060188,47,112.6,4.8,4.23
À×¹«¶ì¶úèÀ,CARVIM,T06200222,115,400,2.3,2.52
³àéª,SYZBUX,T07180303,125,341.9,6,4.3
Ï¸Ö¦èÚ,EURLOQ,T12170084,226.9,337.7,5.6,3.4
Ï¸Ö¦èÚ,EURLOQ,T10060036,191,106,2.3,2.46
»Æµ¤Ä¾½ª×Ó,LITELO,T16140103,306.2,266.5,8.5,6
ÄÏËáÔæ,CHOAXI,T08010128,151.8,4.3,21.6,39.6
¹âÁÁÉ½·¯,SYMLUC,T01150281,19.9,298,4.9,4.45
Ï¸Ö¦èÚ,EURLOQ,T21080375,418,152,4,4
Ï¸Ö¦èÚ,EURLOQ,T06020255,114,39,1.5,3.03
Ï¸Ö¦èÚ,EURLOQ,T19140042,377.5,271,2.5,3.1
Ï¸Ö¦èÚ,EURLOQ,T10050039,196.6,95.6,2,2.87
×Ïéª,PHOSHE,T20120019,395,236.7,14.2,14.7
èàÊ÷,CASFAR,T09170036,167.3,339,2.5,2.45
Ð¡Ò¶Çà¸Ô,CYCMYR,T19180055,367,354.9,12.4,3.75
ÔÆÉ½Çà¸Ô,CYCSES,T25130198,485,254,7.3,5
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T20050260,396.8,89.5,3.2,3.73
¸ñÒ©èÚ,EURMUR,T03040279,52.8,66.8,2.3,3.28
éßÄ¾,SASTZU,T15180085,294.4,340.9,39,33.2
ÄÏËáÔæ,CHOAXI,T09140272,168.8,260.9,1.9,3.25
»Æµ¤Ä¾½ª×Ó,LITELO,T06040325,118.5,74,9.7,9.9
Ã«»¨Á¬Èï²è,CAMFRA,T0820B2893,159,389.9,1.4,2.05
Ï¸Ö¦èÚ,EURLOQ,T04100289,72.8,194.5,2.3,3.05
ºì¶¾Üî,ILLLAN,T04160060,66.8,317.7,4.8,3.9
ÑîÃ·,MYRRUB,T11010015,205,8,16.2,19.8
ºìµ­±È,CLEJAP,T21070320,419,133.5,15.5,16.4
Ã«»¨Á¬Èï²è,CAMFRA,T21150033,409.1,295.2,2.1,1.75
ºìéª,MACTHU,T08020151,158.5,33.8,2.5,2.6
Ã«»¨Á¬Èï²è,CAMFRA,T06120013,115.1,221.8,1.3,3.01
»Æµ¤Ä¾½ª×Ó,LITELO,T04040079,75.8,72.4,14.5,9.4
ºìéª,MACTHU,T15010011,282.5,10.8,2.2,3.05
»Æµ¤Ä¾½ª×Ó,LITELO,T19070211,364,128.4,9.1,6
ÔÆÉ½Çà¸Ô,CYCSES,T03030057,46.9,45.8,30,25.4
Ã«»¨Á¬Èï²è,CAMFRA,T10040022,181.3,72.9,5.3,4.9
Ï¸Ö¦èÚ,EURLOQ,T01040186,13.9,79,1.5,2.58
Ï¸Ö¦èÚ,EURLOQ,T09150101,172.5,293.3,3.1,3.45
±¡Ò¶É½·¯,SYMANO,T23060131,446.8,109.5,9.9,4.45
¹âÁÁÉ½·¯,SYMLUC,T11090138,216.6,177.5,3.6,3.66
ºìéª,MACTHU,T09190270,165.4,360.3,11.4,9.2
Ã«»¨Á¬Èï²è,CAMFRA,T24200024,467.4,383.9,4.2,4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01020059,4.8,24,9.4,8.8
»Æµ¤Ä¾½ª×Ó,LITELO,T19070293,363.8,139,4.9,60
Ï¸Ö¦èÚ,EURLOQ,T16140175,301.7,274.9,2,2.15
¸Û¿Â,LITHAR,T02200066,24.9,387.8,6.4,4.33
ÄÏËáÔæ,CHOAXI,T18130166,352.5,248.8,44.5,36.5
±¡Ò¶Èóéª,MACLEP,T16140012,317.2,268,6,5.3
É½·¯,SYMSUM,T02120305,39.7,228.8,2.9,2.38
¸Û¿Â,LITHAR,T06200313,107.5,399,2.7,3.4
Ï¸Ö¦èÚ,EURLOQ,T04020202,67.3,38.2,3.9,3.92
Ï¸Ö¦èÚ,EURLOQ,T12110335,231.7,216.1,3,4.28
Ð¡Ò¶Çà¸Ô,CYCMYR,T12070054,223,133,3,3.9
·ãÏãÊ÷,LIQFOR,T24190176,460,360,28.8,19.3
Ï¸Ö¦èÚ,EURLOQ,T25030241,497.8,40.5,1.8,2.08
ÈüÉ½Ã·,STYCON,T09010083,179.2,13.5,14.3,11.9
»¢Æ¤éª,DAPOLD,T20050274,399,88.8,8.1,4.65
Ï¸Ö¦èÚ,EURLOQ,T19090150,370.2,174.5,3.5,3.4
¶Ì¹£¶¬Çà,ILEBUE,T06040259,112.3,67.2,2.5,3.24
Ä¾ºÉ,SCHSUP,T08130138,149.5,248.2,29.2,34.6
¹âÒ¶É½·¯,SYMLAN,T22080013,436,155.8,7.3,3.65
Ï¸Ö¦èÚ,EURLOQ,T22090229,425.2,178.7,1.8,3.3
Ã«»¨Á¬Èï²è,CAMFRA,T03190223,40.1,368.9,4.9,3.8
ºìéª,MACTHU,T10060108,193.6,109,3.1,2.78
Ï¸Ö¦èÚ,EURLOQ,T23030262,458.5,53.5,3.1,3.85
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T25130090,492.5,253.3,4.8,4.8
Ã«»¨Á¬Èï²è,CAMFRA,T22140179,422.5,277.4,4.5,5.3
ÔÆÉ½Çà¸Ô,CYCSES,T11160359,204.5,303,25.6,16.6
É½·¯,SYMSUM,T1213B1485,224.9,250,1.9,2.35
Ï¸Ö¦èÚ,EURLOQ,T01040179,13.8,78.6,4.2,4.61
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07080048,129.8,142.3,5,4.8
Ã«»¨Á¬Èï²è,CAMFRA,T11120037,203.9,239.5,2.5,2.77
Ò°ÆáÊ÷,TOXSUC,T06160013,119.9,303.3,4.2,3.75
×Ü×´É½·¯,SYMBOT,T22020093,426.1,22.7,3.4,4.2
Ã«»¨Á¬Èï²è,CAMFRA,T18120158,343,226,2.9,3.05
ÓÍÍ©,VERFOR,T06050313,110.2,80.6,24.3,19.8
ºìµ­±È,CLEJAP,T25030286,496.2,52.9,3.8,3.31
Ï¸Ö¦èÚ,EURLOQ,T03020237,57.6,31,2.5,3.37
Ï¸Ö¦èÚ,EURLOQ,T12120314,227.6,234,2.5,3.3
Ï¸Ö¦èÚ,EURLOQ,T0310B00084,58.2,182,3.3,3.5
»Æµ¤Ä¾½ª×Ó,LITELO,T14030147,276.5,56.5,3.9,4.96
Ä¾ºÉ,SCHSUP,T01200027,2.7,380.8,10.9,3.27
Ã«»¨Á¬Èï²è,CAMFRA,T03130093,47.8,259.1,2.4,3.82
Ï¸Ö¦èÚ,EURLOQ,T05120160,88.5,230,3.4,3.02
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07100073,127,196.5,12.2,10.3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01120228,19.6,229,2.4,3.04
ºìéª,MACTHU,T06090178,106.2,169,2.1,3.15
Äþ²¨Ä¾Ï¬,OSMCOO,T02200132,21.7,396,3.2,4.2
Ï¸Ö¦èÚ,EURLOQ,T15140061,281.4,277.5,3.3,3.66
Ã«»¨Á¬Èï²è,CAMFRA,T14060178,273.8,119,2.9,4.09
Ã«»¨Á¬Èï²è,CAMFRA,T24120180,475.5,230.3,1.3,2.25
ºìéª,MACTHU,T12060199,233.6,103.8,4.3,5.3
³àéª,SYZBUX,T21100327,417.5,197.2,3.8,4.05
Ã«»¨Á¬Èï²è,CAMFRA,T12190162,233,362.1,2.2,3.7
Äþ²¨Ä¾Ï¬,OSMCOO,T24130043,479.9,256.2,7.1,6.2
ÂíÒø»¨,RHOOVA,T08100149,148.7,182,4.2,3.5
Ã«»¨Á¬Èï²è,CAMFRA,T14070030,277.7,131.8,5.1,4.9
ÔÆÉ½Çà¸Ô,CYCSES,T25140237,498.3,264.7,18.1,8.9
Ï¸Ö¦èÚ,EURLOQ,T22090194,433,172,1.9,2.3
Ï¸Ö¦èÚ,EURLOQ,T02050161,39.2,99.4,3.9,3
ºìµ­±È,CLEJAP,T25050154,491.9,90.5,2.8,3.47
À×¹«¶ì¶úèÀ,CARVIM,T23090003,440.7,160.2,5.3,5.1
·ãÏãÊ÷,LIQFOR,T07010203,131.5,1.7,9.9,19.3
Ïã¹ð,CINSUB,T09120137,174.5,232.7,24.7,16.2
±¡Ò¶É½·¯,SYMANO,T08200188,147.8,382.2,4.6,3.08
½­ÄÏÔ½½Û,VACMAN,T21010188,414,9.8,1.7,2.3
±¡Ò¶Èóéª,MACLEP,T22150168,427,284.2,2.2,2.5
Äþ²¨Ä¾Ï¬,OSMCOO,T08150211,157,283.6,15.4,11
ÔÆÉ½Çà¸Ô,CYCSES,T24190090,469.7,369.8,12.3,6
ÀÏÊóÊ¸,SYMSTE,T23110001,442,202.2,5.6,3.85
¶Ì¹£¶¬Çà,ILEBUE,T06160186,103,317.8,8.1,4.75
»Æµ¤Ä¾½ª×Ó,LITELO,T07120159,123.6,231,10.9,5.8
±¡Ò¶É½·¯,SYMANO,T07150124,135.5,287.5,1.8,2.35
Õ­»ùºìºÖèÚ,EURRUB,T0820B2878,158.2,380.6,4.3,2.86
ÄÏËáÔæ,CHOAXI,T20110165,397.5,210.1,41.4,35.1
¸Û¿Â,LITHAR,T05180025,90.6,358,15.2,10.3
ÂíÒø»¨,RHOOVA,T14200115,270,388.5,2.4,2.55
ÀÏÊóÊ¸,SYMSTE,T22100275,427.8,195,2.2,3.12
Ã«»¨Á¬Èï²è,CAMFRA,T10040208,198,63.6,2.4,3.05
Ï¸Ö¦èÚ,EURLOQ,T03060143,45.8,117.2,1.5,2.87
Ï¸Ö¦èÚ,EURLOQ,T16170083,312.5,337,3.8,2.2
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T02180115,33,346.1,2.7,3.63
Ê¯°ßÄ¾,RHAIND,T13170232,242.8,334,3.2,4.2
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T16080049,305.5,152.3,11.5,11
¹âÁÁÉ½·¯,SYMLUC,T14180148,269,358.5,5,4.1
Ï¸Ö¦èÚ,EURLOQ,T15020064,292.4,31,6.4,4.55
Äþ²¨Ä¾Ï¬,OSMCOO,T07060053,124.2,117.6,5.6,3.98
Ï¸Ö¦èÚ,EURLOQ,T14100124,266.9,193.2,1.8,3.12
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T21110103,409.5,204.5,8.6,4.1
¹âÁÁÉ½·¯,SYMLUC,T14050315,261.3,87.6,1.8,2.79
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02170120,26,322.2,3.2,4.15
Ï¸Ö¦èÚ,EURLOQ,T09070067,168.7,134.1,3.6,4.02
»Æµ¤Ä¾½ª×Ó,LITELO,T02070053,26.5,121.7,14.5,17.3
»Æµ¤Ä¾½ª×Ó,LITELO,T0305B04581,43.1,94,10.3,8.4
ºìéª,MACTHU,T03150104,48.8,282.4,4.4,4.45
»Æµ¤Ä¾½ª×Ó,LITELO,T20020195,383.9,20.2,2,2
Ï¸Ö¦èÚ,EURLOQ,T22100166,430,186.7,1.8,2.25
Ïã¹ð,CINSUB,T05170067,86.8,336.4,12.6,18
Ã«»¨Á¬Èï²è,CAMFRA,T16120093,300,233.4,1.9,4.15
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T21020051,402.2,36,19.4,11.7
ÏÙÒ¶¹ðÓ£,LAUPHA,T06200320,109.9,400,9,4.77
ºì¶¾Üî,ILLLAN,T05040069,81.4,77.9,1.9,2.36
Ã«ÂöéÊ,ACEPUB,T10180067,185,346.7,2.3,2.95
±¡Ò¶É½·¯,SYMANO,T11140028,215.1,266,7.8,4.1
Ï¸Ö¦èÚ,EURLOQ,T11060135,213.3,111.7,6,3.69
Ï¸Ö¦ èÚ,EURLOQ,T02120119,28.2,226.4,1.7,2.79
Ä¾ºÉ,SCHSUP,T07180241,130.5,346.5,9.6,3.55
¸Û¿Â,LITHAR,T22100107,432.5,198,23.8,9.5
Ï¸Ö¦èÚ,EURLOQ,T06060107,109,112.2,1.6,2.02
¹âÁÁÉ½·¯,SYMLUC,T24130000,479.8,240.5,9,7
±¡Ò¶É½·¯,SYMANO,T07150220,128.7,290.1,5.7,2.55
Ã«»¨Á¬Èï²è,CAMFRA,T17070021,323,133.4,5.3,6
±¡Ò¶É½·¯,SYMANO,T07200030,128.8,383.2,1.9,2.28
ºìéª,MACTHU,T20050233,399.8,92.7,3.8,3.55
¹âÁÁÉ½·¯,SYMLUC,T02150148,24.5,287.5,3,3.06
ÂíÒø»¨,RHOOVA,T0820B1968,152.3,385.5,5.2,2.94
¹âÁÁÉ½·¯,SYMLUC,T24140019,464,272.5,13,3.4
»Æµ¤Ä¾½ª×Ó,LITELO,T15030056,287.5,59,3.6,4.94
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T09050035,175,87.1,11.1,14.7
¸Û¿Â,LITHAR,T08130004,140,258.5,10.8,7.6
Ã«»¨Á¬Èï²è,CAMFRA,T01160033,3,313.1,2,3.55
¿àèÀÄ¾,FRAINS,T01190297,12.8,376,3.7,2.9
»Æµ¤Ä¾½ª×Ó,LITELO,T20090282,395.2,177.3,6.1,5
¹âÒ¶É½·¯,SYMLAN,T12120238,228.5,222.3,4.8,4.25
Ã«»¨Á¬Èï²è,CAMFRA,T12030287,236.6,51.3,1.8,2.2
¿àèÀÄ¾,FRAINS,T09200263,169.8,389.3,11,4.85
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T05060198,99.5,115.6,6.8,4.34
Õ­»ùºìºÖèÚ,EURRUB,T06170177,114,326,1.7,1.7
»Æµ¤ Ä¾½ª×Ó,LITELO,T14180080,263.2,353.8,2.5,3.45
Ï¸Ö¦èÚ,EURLOQ,T19050234,373,84.9,1.7,1.9
ËÄÕÕ»¨,CORKOU,T21190078,404.9,371.2,17,7
Äþ²¨Ä¾Ï¬,OSMCOO,T09200229,167.5,392.8,7.7,4.84
Ã«»¨Á¬Èï²è,CAMFRA,T06050279,118.5,81.8,1.5,2.5
Ð¡Ò¶Çà¸Ô,CYCMYR,T19150090,364,285,14.1,6.2
¸Û¿Â,LITHAR,T06180001,102,341,11.2,10.7
Ï¸Ö¦èÚ,EURLOQ,T16150135,306.3,287.9,3,2.85
»Æµ¤Ä¾½ª×Ó,LITELO,T04010071,72.5,17.5,3.2,3.12
ÀÏÊóÊ¸,SYMSTE,T19190023,369,361.8,2.1,2.7
»Æµ¤Ä¾½ª×Ó,LITELO,T14010161,265.1,1.6,7.5,6.5
¹âÒ¶Ê¯éª,PHOGLA,T1213B1421,220.1,258.6,2.6,2.85
ÔÆÉ½Çà¸Ô,CYCSES,T12030306,238.8,46.6,28.6,8.6
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T18170122,343.2,329.5,5.6,7
ºìéª,MACTHU,T08040096,147.7,70,8.9,12.9
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T01180033,2.6,354.3,2.2,3.32
Ï¸Ö¦èÚ,EURLOQ,T13130020,244.5,244.9,3.2,3.28
Ï¸Ö¦èÚ,EURLOQ,T03100432,56.2,190.2,3.8,4.05
»Æµ¤Ä¾½ª×Ó,LITELO,T20110097,393,217,9.4,5.3
Ï¸Ö¦èÚ,EURLOQ,T12010107,225.7,4.8,3.7,3.63
Õ­»ùºìºÖèÚ,EURRUB,T15090110,289.5,172,1.8,2.7
±¡Ò¶É½·¯,SYMANO,T1213B1466,223.2,251.5,3,3.47
Ã«»¨Á¬Èï²è,CAMFRA,T24200090,464,392.5,6,3.85
Ï¸Ö¦èÚ,EURLOQ,T06040240,112,76,1.3,2.05
ÄÏËáÔæ,CHOAXI,T09140096,170.1,260.6,5.5,4.8
Ï¸Ö¦èÚ,EURLOQ,T03110020,40.6,208,3.5,4.08
ÄÏËáÔæ,CHOAXI,T20080249,391.2,145.5,31.6,7.3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02110212,36.8,219.7,3.6,3.5
Ã«»¨Á¬Èï²è,CAMFRA,T24110132,466.8,217,2.7,3.2
Ï¸Ö¦èÚ,EURLOQ,T23020006,456.4,37.4,2.1,3.1
»Æµ¤Ä¾½ª×Ó,LITELO,T07070094,127,130,4.7,4.77
»Æµ¤Ä¾½ª×Ó ,LITELO,T03050002,40.6,80.8,3.8,5.7
 ¹âÁÁÉ½·¯,SYMLUC,T12190053,236.8,371.8,8,2.85
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T19020065,379.9,26.7,5.8,17.9
»Æµ¤Ä¾½ª×Ó,LITELO,T05010045,89,15.8,2.9,4.53
ºìéª,MACTHU,T15080198,285.5,148.4,1.5,1.81
ÂíÒø»¨,RHOOVA,T01060082,6.6,105.9,2.1,1.67
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03170018,57,332.2,3.6,4.35
¹âÁÁÉ½·¯,SYMLUC,T02130185,37.5,253,2.9,3.15
Ã×éÆ,CASCAR,T01030066,4.2,59,20.9,10.6
Ï¸Ö¦èÚ,EURLOQ,T07130006,131,257.5,2.1,2.41
»Æµ¤Ä¾½ª×Ó,LITELO,T21100146,408.4,185.5,1.9,2.1
Ï¸Ö¦èÚ,EURLOQ,T12200169,226,385.3,2.4,3.25
»Æµ¤Ä¾½ª×Ó,LITELO,T14040260,277.3,71.6,3.2,3.98
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01030053,4.5,53.2,17.1,8.2
Ï¸Ö¦èÚ,EURLOQ,T09040222,174.8,79.9,1.7,2.45
Ã«»¨Á¬Èï²è,CAMFRA,T22100096,435,198,2.6,4
À×¹«¶ì¶úèÀ,CARVIM,T23130110,453,241.9,32.9,9.1
ÔÆÉ½Çà¸Ô,CYCSES,T15140077,286.5,277.5,27.2,9.7
Ï¸Ö¦èÚ,EURLOQ,T11110219,210.1,214,4.1,4.6
Ï¸Ö¦èÚ,EURLOQ,T10060164,196.4,117.5,1.9,2.74
»Æµ¤Ä¾½ª×Ó,LITELO,T15040111,291.4,61.1,1.8,1.93
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02110230,32,217,9.4,6
Ï¸Ö¦èÚ,EURLOQ,T18120146,341.5,232,3.5,3.75
Ï¸Ö¦èÚ,EURLOQ,T03060242,50,101,2.2,2.62
éßÄ¾,SASTZU,T21010223,418.2,1.1,15.5,8.1
Ò°ÆáÊ÷,TOXSUC,T06070205,104.5,132.4,27.4,5.3
Ï¸Ö¦èÚ,EURLOQ,T11090180,219.9,168,4.2,4.05
»Æµ¤Ä¾½ª×Ó,LITELO,T03010059,46.8,2,4.6,4.1
Ìú¶¬Çà,ILEROT,T08090024,142.3,169.6,19.8,17.3
Ï¸Ö¦èÚ,EURLOQ,T13160006,258.5,304,2.4,2.73
Ã«»¨Á¬Èï²è,CAMFRA,T13020236,249,39,2.2,1.72
Ï¸Ö¦èÚ,EURLOQ,T09100039,161.8,193.9,2.8,4.58
À×¹«¶ì¶úèÀ,CARVIM,T12130084,239.2,259,14.7,14.2
ÔÆÉ½Çà¸Ô,CYCSES,T23050310,457.2,93,6.9,5.5
ÈüÉ½Ã·,STYCON,T24100067,474.1,198.8,7.4,18.9
±¡Ò¶É½·¯,SYMANO,T18030228,359.2,52.5,2,3.9
Ã«»¨Á¬Èï²è,CAMFRA,T13150221,260,295.7,2.2,3.3
»Æµ¤Ä¾½ª×Ó,LITELO,T13050210,257.9,97.2,1.7,2.48
Ï¸Ö¦èÚ,EURLOQ,T15050208,297.7,88.5,5.8,4.18
¹âÒ¶Ê¯éª,PHOGLA,T06070191,119,123.7,4.9,3.7
Ã«»¨Á¬Èï²è,CAMFRA,T12120118,235,236,2,2.5
éßÄ¾,SASTZU,T03120335,55.1,220.8,30.3,32.9
ÔÆÉ½Çà¸Ô,CYCSES,T06170351,119,330,8.4,4.1
Ï¸Ö¦èÚ,EURLOQ,T03010138,49.5,18,4.1,5.5
ºìéª,MACTHU,T24170060,479.5,323.5,13,5.5
»Æµ¤Ä¾½ª×Ó,LITELO,T16070102,306,124.3,15.7,13.1
Ï¸Ö¦èÚ,EURLOQ,T04020177,76.8,35.3,4,3.31
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T04190194,65.8,374,2.4,4
Ï¸Ö¦èÚ,EURLOQ,T09040168,171.2,66.2,2.2,4.74
ÏÙÒ¶¹ðÓ£,LAUPHA,T13120231,247.5,227.2,3.8,6.3
Õ­»ùºìºÖèÚ,EURRUB,T22110053,431,203,2.3,3.1
ºì¶¾Üî,ILLLAN,T05040095,88.8,77.5,1.4,1.6
»¢Æ¤éª,DAPOLD,T22070231,433.5,129.5,4.9,3.95
Ä¾ºÉ,SCHSUP,T03130089,45,258,40.7,39.7
»Æµ¤Ä¾½ª×Ó,LITELO,T14040263,277.7,71.8,16.9,7.6
Ï¸Ö¦èÚ,EURLOQ,T05120264,94.6,224,3.7,2.87
Ï¸Ö¦èÚ,EURLOQ,T06050287,116.3,80.7,3,3.47
Ï¸Ö¦èÚ ,EURLOQ,T25080045,490.6,158.5,3.1,3.9
Ã«»¨Á¬Èï²è,CAMFRA,T13010111,251.9,1.7,2.4,2.78
»Æµ¤Ä¾½ª×Ó,LITELO,T19020142,372.06,34.5,4,5.5
