spCN,sp,tag,gx,gy,dbh,height
»Æµ¤Ä¾½ª×Ó,LITELO,T24200102,465.1,392.7,9,17.1
ÔÆÉ½Çà¸Ô,CYCSES,T21190132,417.5,373.5,2.2,2.83
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07010044,123.1,8.4,1.8,1.7
Ã«»¨Á¬Èï²è,CAMFRA,T06040209,113.6,76,4.5,3.49
Õ­»ùºìºÖèÚ,EURRUB,T18120088,355.6,232.5,1.7,2.65
Ï¸Ö¦èÚ,EURLOQ,T03050247,51.4,90.5,3.5,4.45
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T12140302,230.5,267.6,8.8,5
Ï¸Ö¦èÚ,EURLOQ,T11110076,203.5,216,2.6,3.4
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T23120056,446,228,7.7,15.4
Ï¸Ö¦èÚ,EURLOQ,T15040003,282.7,63.5,2.3,2.91
¸Û¿Â,LITHAR,T03110215,45.5,203.5,27.6,26.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T21030048,408.5,42,18.1,19
ÂíÒø»¨,RHOOVA,T08120224,152.5,234.3,3.3,2
ÔÆÉ½Çà¸Ô,CYCSES,T15100003,283.7,181.9,22.5,19.4
Ï¸Ö¦èÚ,EURLOQ,T15170164,290,328.3,3.2,4
ÄÏËáÔæ,CHOAXI,T14170255,278.5,326,18.5,29.7
Ï¸Ö¦èÚ,EURLOQ,T18140005,344.4,279,1.9,2.8
À×¹«¶ì¶úèÀ,CARVIM,T21100031,402,194.5,17.2,13.1
Õ­»ùºìºÖèÚ,EURRUB,T22030234,430.2,56.8,2.3,3.65
¶Ì¹£¶¬Çà,ILEBUE,T12110057,239.7,201.9,1.4,1.51
³àÑîÒ¶,ALNFOR,T02040040,29.5,69.3,9.5,8.8
Ïã¹ð,CINSUB,T08130244,153.2,244.5,11.5,5
»Æµ¤Ä¾½ª×Ó,LITELO,T16100089,308.8,183.4,2.5,3.17
Ä¾ºÉ,SCHSUP,T23050036,442,90,18.9,8.9
¶Ì¹£¶¬Çà,ILEBUE,T14160222,273,315,12.8,6.5
³àÑîÒ¶,ALNFOR,T23080087,446,159.2,15.4,8.7
ºì¶¾Üî,ILLLAN,T04050095,78.3,87.5,3.9,4.16
±¡Ò¶É½·¯,SYMANO,T09170207,173,327.1,2.4,2.2
Ï¸Ö¦èÚ,EURLOQ,T23010038,441.5,5.2,2.5,2.45
ºìµ­±È,CLEJAP,T11130113,206.8,246.5,4.8,4.15
Ï¸Ö¦èÚ,EURLOQ,T18010137,348,11.5,1.9,2.85
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09040210,171.6,75.1,20.1,9.2
Ä¾ºÉ,SCHSUP,T22020215,430.2,38.8,21.8,15
Ï¸Ö¦èÚ,EURLOQ,T11130344,212.3,244.2,3.4,4.03
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01020223,14.5,37.3,6.4,5.3
ºìµ­±È,CLEJAP,T22090281,426.3,168.3,1.8,2.12
±¡Ò¶É½·¯,SYMANO,T15130034,293.5,259.9,2.2,2.64
¸Û¿Â,LITHAR,T23100191,453.8,183.3,8.8,7
»Æµ¤Ä¾½ª×Ó,LITELO,T18030054,351.9,43.8,3.5,3.21
»Æµ¤Ä¾½ª×Ó,LITELO,T19090193,365,164.9,5.1,5.2
ÄÏÖò,VACBRA,T04100205,64.2,186.5,6.6,4.15
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01170116,1.4,332.8,3.6,3.95
Ï¸Ö¦èÚ,EURLOQ,T20030163,387,49.8,4,4
»ÆÅ£ÄÌÊ÷,SYMCOC,T22140019,429.5,265,1.8,1.7
ºìéª,MACTHU,T18140100,348.9,271,3.5,5.2
±¡Ò¶É½·¯,SYMANO,T04170056,64.7,326.3,2.8,3.7
¸Û¿Â,LITHAR,T25130007,495,242.8,21.6,11.2
Ã«»¨Á¬Èï²è,CAMFRA,T04100298,71,194.8,2.8,3.77
»Æµ¤Ä¾½ª×Ó,LITELO,T02040075,20,78.8,4.1,3.6
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T10160108,185.5,304.8,3.4,4
Ä¾ºÉ,SCHSUP,T07010266,132,12,16.8,19.5
»Æµ¤Ä¾½ª×Ó,LITELO,T19040095,365.8,63.8,7.9,11
Ã«»¨Á¬Èï²è,CAMFRA,T03020252,55.1,30,1.4,2.39
ºì¶¾Üî,ILLLAN,T04050213,61,94.7,2.7,4.57
±¡Ò¶Èóéª,MACLEP,T17070200,337.3,122,6.1,5.2
Ï¸Ö¦èÚ,EURLOQ,T10110072,182.6,208.8,4.1,3.65
ÂíÒø»¨,RHOOVA,T08100052,142,185.8,5.3,4.7
Ã«»¨Á¬Èï²è,CAMFRA,T17200110,327.5,380.1,2.9,3.4
Ã×éÆ,CASCAR,T01020222,14,36,24.2,20.5
Ã«»¨Á¬Èï²è,CAMFRA,T25140198,491.8,265.5,3.5,3.53
Ï¸Ö¦èÚ,EURLOQ,T23120023,442.5,229.7,3.6,3.95
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T23010136,451.7,16.6,6.2,7
ºìéª,MACTHU,T11150064,219.5,284,3.9,4.5
Ï¸Ö¦èÚ,EURLOQ,T02050001,21.5,81.1,3.7,4.11
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02190104,25,360.8,11.7,6.7
Ï¸Ö¦èÚ,EURLOQ,T24060031,463,104.7,4,3.1
Ï¸Ö¦èÚ,EURLOQ,T25020069,496.2,28.8,2.4,2.5
»Æµ¤Ä¾½ª×Ó,LITELO,T05020107,87.8,36.2,1.5,1.8
ÔÆÉ½Çà¸Ô,CYCSES,T25140259,496.8,271.3,9.5,6
Ð¡Ò¶Çà¸Ô,CYCMYR,T19180029,360.5,354.1,8.5,8.4
³àéª,SYZBUX,T22100156,432.4,185.8,3.2,4.3
Õ­»ùºìºÖèÚ,EURRUB,T07080337,127.7,159.9,2.1,1.71
±¡Ò¶É½·¯,SYMANO,T09040162,172.4,63,2.6,4
Ï¸Ö¦èÚ,EURLOQ,T12120005,237.6,221.4,3.3,3.25
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03090170,54.9,179.1,3.2,4.56
»Æµ¤Ä¾½ª×Ó,LITELO,T18020089,351.8,36.5,2.7,3.9
ÖÐ»ªÎÀÃ¬,EUONIT,T03030148,46.8,58.7,3.5,4.08
Ïã¹ð,CINSUB,T04060200,63,112,3.4,4.68
ºìµ­±È,CLEJAP,T25110075,499,220,10.7,5.1
»Æµ¤Ä¾½ª×Ó,LITELO,T01130015,1.6,241,1.8,2.21
Ï¸Ö¦èÚ,EURLOQ,T02030117,22.6,55.8,4.2,4.11
ºìéª,MACTHU,T24150042,478.5,284,17.1,11.7
»¢Æ¤éª,DAPOLD,T11090195,216,165.1,15.7,19.3
Ã«»¨Á¬Èï²è,CAMFRA,T02070171,39,139.5,1.4,2.65
ºìµ­±È,CLEJAP,T16160027,300.2,310,5.1,2.75
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T01040253,7.6,77.2,6.3,10
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T23050206,448.9,91.9,7,3.4
Ï¸Ö¦èÚ,EURLOQ,T13040035,256.4,70.4,4.1,4.31
»Æµ¤Ä¾½ª×Ó,LITELO,T20080080,387.9,142.5,7.4,5
Ã«»¨Á¬Èï²è,CAMFRA,T16190006,316.5,363,2.6,3.63
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10060066,187.3,119.9,7.3,6.2
´óÒ¶¶¬Çà,ILELAT,T06140069,114.4,267,7.3,5.5
Ï¸Ö¦èÚ,EURLOQ,T17060040,322.8,111.1,3.2,3.37
É½·¯,SYMSUM,T13010122,247.8,1.7,4.1,3.61
Ï¸Ö¦èÚ,EURLOQ,T10120231,181.8,223,1.6,2.22
Ã«»¨Á¬Èï²è,CAMFRA,T10070225,182.4,138.9,2.7,3.17
ÏÙÒ¶¹ðÓ£,LAUPHA,T15200061,299.1,399.1,3.3,4.1
Ã«»¨Á¬Èï²è,CAMFRA,T07030186,127,55.5,1.3,2.52
»Æµ¤Ä¾½ª×Ó,LITELO,T14120252,267,229,4.6,1.91
É½·¯,SYMSUM,T01090234,11.8,163,2.2,3.15
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07040013,138.5,65.3,2.2,3.27
Õ­»ùºìºÖèÚ,EURRUB,T07180122,123.8,359.9,1.6,1.91
±¡Ò¶Èóéª,MACLEP,T03080212,58.5,152.5,16.1,36.5
É½·¯,SYMSUM,T25110370,484.5,201.7,4.4,4.55
Ï¸Ö¦èÚ,EURLOQ,T15160258,297,309,2.4,2.74
Ï¸Ö¦èÚ,EURLOQ,T09090175,170.8,176,2.5,2.22
»Æµ¤Ä¾½ª×Ó,LITELO,T19040005,363,77.2,3.4,4.26
É½·¯,SYMSUM,T23080044,443,149,4.9,4.45
ºìµ­±È,CLEJAP,T25070294,497,138.6,4.5,5.1
ÂíÒø»¨,RHOOVA,T13010050,241.3,10,3.8,3.36
Õ­»ùºìºÖèÚ,EURRUB,T05120184,90,228.8,1.2,1.81
Ïã¹ð,CINSUB,T12190139,235,367.5,15.1,13.6
ÂíÒø»¨,RHOOVA,T07200230,123,392.5,3.3,3.1
·ãÏãÊ÷,LIQFOR,T18170110,344.8,324,31,14.9
Ã«»¨Á¬Èï²è,CAMFRA,T25100111,499,196,2.1,1.7
è×—º,HOVACE,T17020054,332,37.5,28.1,27
Ã«»¨Á¬Èï²è,CAMFRA,T02150084,38.3,282.5,2,2.55
Ã«»¨Á¬Èï²è,CAMFRA,T01150055,8,284.9,2.4,3.15
Öå±ú¶¬Çà,ILEKEN,T09050203,165.9,98,24.1,9.5
»Æµ¤Ä¾½ª×Ó,LITELO,T16060159,318.2,100.3,11.3,9.8
ÔÆÉ½Çà¸Ô,CYCSES,T24060172,467.7,102.5,4.7,3.3
»Æµ¤Ä¾½ª×Ó,LITELO,T03060069,40.6,107.2,3.8,4.86
¸Û¿Â,LITHAR,T25110255,491,209,24.3,16.7
É½·¯,SYMSUM,T24120132,474.2,230.5,2.7,2.5
Ï¸Ö¦èÚ,EURLOQ,T21050030,412.4,97.5,1.3,2.4
Õ­»ùºìºÖèÚ,EURRUB,T03130207,54,243.9,2.9,2.8
